"index","value"
1973 Dec,1361
1974 Jan,1278
1974 Feb,1443
1974 Mar,1524
1974 Apr,1483
1974 May,1404
1974 Jun,1450
1974 Jul,1517
1974 Aug,1324
1974 Sep,1533
1974 Oct,1622
1974 Nov,1564
1974 Dec,1244
1975 Jan,1456
1975 Feb,1534
1975 Mar,1689
1975 Apr,1641
1975 May,1588
1975 Jun,1614
1975 Jul,1639
1975 Aug,1763
1975 Sep,1779
1975 Oct,1622
1975 Nov,1491
1975 Dec,1603
1976 Jan,1820
1976 Feb,1517
1976 Mar,1448
1976 Apr,1467
1976 May,1550
1976 Jun,1562
1976 Jul,1569
1976 Aug,1455
1976 Sep,1524
1976 Oct,1486
1976 Nov,1484
1976 Dec,1361
1977 Jan,1433
1977 Feb,1423
1977 Mar,1438
1977 Apr,1478
1977 May,1488
1977 Jun,1529
1977 Jul,1432
1977 Aug,1482
1977 Sep,1452
1977 Oct,1460
1977 Nov,1656
1977 Dec,1370
1978 Jan,1378
1978 Feb,1394
1978 Mar,1352
1978 Apr,1265
1978 May,1194
1978 Jun,1086
1978 Jul,1119
1978 Aug,1046
1978 Sep,843
1978 Oct,961
1978 Nov,990
1978 Dec,1067
1979 Jan,1123
1979 Feb,1056
1979 Mar,1091
1979 Apr,1304
1979 May,1248
1979 Jun,1364
1979 Jul,1407
1979 Aug,1421
1979 Sep,1491
1979 Oct,1538
1979 Nov,1308
1979 Dec,1380
1980 Jan,1520
1980 Feb,1466
1980 Mar,1554
1980 Apr,1408
1980 May,1405
1980 Jun,1512
1980 Jul,1495
1980 Aug,1556
1980 Sep,1569
1980 Oct,1630
1980 Nov,1548
1980 Dec,1769
1981 Jan,1705
1981 Feb,1561
1981 Mar,1524
1981 Apr,1583
1981 May,1528
1981 Jun,1368
1981 Jul,1358
1981 Aug,1507
1981 Sep,1381
1981 Oct,1229
1981 Nov,1327
1981 Dec,1085
1982 Jan,1305
1982 Feb,1319
1982 Mar,1264
1982 Apr,1290
1982 May,1385
1982 Jun,1517
1982 Jul,1399
1982 Aug,1534
1982 Sep,1580
1982 Oct,1647
1982 Nov,1893
1982 Dec,1828
1983 Jan,1741
1983 Feb,1910
1983 Mar,1986
1983 Apr,2049
1983 May,2026
1983 Jun,2083
1983 Jul,2158
1983 Aug,2041
1983 Sep,2128
1983 Oct,2182
1983 Nov,2295
1983 Dec,2494
1984 Jan,2390
1984 Feb,2334
1984 Mar,2249
1984 Apr,2221
1984 May,2254
1984 Jun,2252
1984 Jul,2382
1984 Aug,2481
1984 Sep,2485
1984 Oct,2421
1984 Nov,2366
1984 Dec,2481
1985 Jan,2289
1985 Feb,2365
1985 Mar,2084
1985 Apr,2266
1985 May,2067
1985 Jun,2123
1985 Jul,2051
1985 Aug,1874
1985 Sep,1677
1985 Oct,1724
1985 Nov,1526
